ID,Rec,Use,iOS,Age,Gender
beae995198cb6431f8b7ba843d17e24f1733669055,Everyday,Everyday,Everyday,18-29,Female
cfcf21d744fedcbcf8b4045cc7ea1a421733669116,Everyday,Everyday,Everyday,18-29,Female
710a0a26cd5574d475f82b9881a933411733669969,Everyday,Everyday,Everyday,18-29,Female
2865f6dea92f6b77f827c430c1bb493a1733672537,Everyday,Occasionally,Never,18-29,Male
f5909faf516fcb7017de24696d756e821733680675,Everyday,Everyday,Everyday,18-29,Female
da7d08240f3bbbb51fb729b80da521401733709121,Occasionally,Occasionally,Everyday,18-29,Female
52b9f6754d9ecd9df67c23bf10d55fb71733716690,Everyday,Everyday,Everyday,18-29,Female
97815aeb9c53f7aebfc35de676c0e0211733745753,Everyday,Everyday,Everyday,18-29,Female
f53044e889f61f0306a71be5131b6dc91733747028,Everyday,Everyday,Never,18-29,Male
055048a48e3f248c8a55b2143e8ba4811733749415,Everyday,Everyday,Everyday,18-29,Female
96fbf8e51dddb701d0e916bb7023d8031733765025,Everyday,Occasionally,Everyday,18-29,Male
8cfaee7d23d06e8ccfcbc77946514d691733774491,Everyday,Everyday,Everyday,18-29,Female
081d5ba091fdbed4e44546066a6157d11733774651,Everyday,Everyday,Never,18-29,Female
da7d08240f3bbbb51fb729b80da521401733841895,Everyday,Occasionally,Occasionally,30-39,Male
da7d08240f3bbbb51fb729b80da521401733843408,Everyday,Everyday,Everyday,18-29,Female
e5bea23a6e1c2d3b5532865d529ecca21733869106,Everyday,Everyday,Everyday,30-39,Female
06d5086a2e6a6b1297ff99f93451f76e1733879974,Everyday,Occasionally,Never,30-39,Male
06d5086a2e6a6b1297ff99f93451f76e1733924228,Everyday,Occasionally,Occasionally,18-29,Male
da7d08240f3bbbb51fb729b80da521401733924387,Occasionally,Everyday,Everyday,30-39,Female
da7d08240f3bbbb51fb729b80da521401733927589,Everyday,Everyday,Never,18-29,Female
7a0fa34915648f0f5c18e37a135e21101733934063,Everyday,Everyday,Everyday,18-29,Male
da7d08240f3bbbb51fb729b80da521401733936849,Everyday,Occasionally,Everyday,30-39,Female
da7d08240f3bbbb51fb729b80da521401733943068,Everyday,Never,Everyday,18-29,Male
da7d08240f3bbbb51fb729b80da521401733959521,Everyday,Everyday,Occasionally,40-49,Female
